pu_weight_nominal,pu_weight_down,pu_weight_up
0.,0.,0.
10.,10.,10.
10.,10.,10.
10.,10.,10.
10.,10.,10.
8.856287,10.,7.583666
6.426556,7.709734,5.432223
4.756865,5.766704,3.969606
3.536773,4.311357,2.938890
2.680621,3.328081,2.203116
2.146159,2.721994,1.728863
1.824576,2.349104,1.445054
1.630471,2.114335,1.277583
1.512244,1.964202,1.179929
1.442750,1.872008,1.125121
1.407974,1.820821,1.099574
1.398108,1.796002,1.095759
1.404069,1.783536,1.107794
1.416739,1.770484,1.129799
1.427277,1.746376,1.155527
1.428110,1.705162,1.178631
1.414450,1.646685,1.193461
1.385493,1.576237,1.196177
1.344411,1.501792,1.185671
1.296857,1.430738,1.163819
1.248764,1.368005,1.134695
1.204756,1.315733,1.103039
1.167562,1.273792,1.072979
1.138131,1.240646,1.047382
1.116129,1.214126,1.027774
1.100449,1.192041,1.014565
1.089689,1.172453,1.007406
1.082455,1.153631,1.005510
1.077453,1.133866,1.007940
1.073395,1.111334,1.013755
1.068879,1.084117,1.022023
1.062303,1.050411,1.031725
1.051912,1.008800,1.041668
1.035951,0.958513,1.050415
1.012879,0.899579,1.056326
0.981588,0.832868,1.057678
0.941575,0.760010,1.052847
0.893023,0.683198,1.040486
0.836804,0.604953,1.019689
0.774409,0.527852,0.990124
0.707803,0.454260,0.952092
0.639192,0.386098,0.906458
0.570787,0.324694,0.854563
0.504608,0.270754,0.798084
0.442319,0.224414,0.738871
0.385128,0.185357,0.678788
0.333765,0.152948,0.619570
0.288511,0.126371,0.562680
0.249271,0.104746,0.509238
0.215667,0.087208,0.459992
0.187139,0.072969,0.415341
0.163041,0.061351,0.375389
0.142704,0.051791,0.340010
0.125488,0.043841,0.308914
0.110812,0.037157,0.281694
0.098171,0.031478,0.257873
0.087147,0.026616,0.236941
0.077406,0.022430,0.218398
0.068698,0.018823,0.201778
0.060846,0.015719,0.186683
0.053733,0.013061,0.172790
0.047284,0.010799,0.159858
0.041453,0.008890,0.147720
0.036208,0.007291,0.136278
0.031523,0.005961,0.125479
0.027367,0.004862,0.115303
0.023706,0.003959,0.105742
0.020499,0.003217,0.096796
0.017701,0.002610,0.088456
0.015266,0.002113,0.080706
0.013148,0.001706,0.073519
0.011305,0.001372,0.066859
0.009696,0.001098,0.060679
0.008288,0.000873,0.054928
0.007049,0.000688,0.049550
0.005956,0.000537,0.044484
0.004987,0.000413,0.039673
0.004128,0.000314,0.035062
0.003364,0.000233,0.030602
0.002687,0.000169,0.026261
0.002091,0.000120,0.022034
0.001576,0.000081,0.017956
0.001141,0.000053,0.014108
0.000789,0.000033,0.010615
0.000518,0.000019,0.007609
0.000328,0.000011,0.005280
0.000199,0.000006,0.003510
0.000115,0.000003,0.002245
0.000065,0.000001,0.001388
0.000035,0.000001,0.000834
0.000019,0.000000,0.000489
0.000010,0.000000,0.000282
0.000005,0.000000,0.000160
0.000002,0.000000,0.000089
0.000001,0.000000,0.000049
