pu_weight_nominal,pu_weight_down,pu_weight_up
0.183454,0.192765,0.177286
3.933129,4.383619,3.346173
3.471107,4.634526,2.807417
2.492398,2.401455,2.503082
1.624947,1.895853,1.381285
1.515094,1.703668,1.328334
1.287910,1.349956,1.239856
1.278245,1.448618,1.162085
0.615844,0.924199,0.489529
1.452074,2.229088,0.908092
1.497679,2.263182,1.037592
1.487471,2.122160,1.003538
1.331159,1.781904,0.985724
1.164494,1.569264,0.882452
1.079013,1.475780,0.809757
1.054366,1.459846,0.779626
1.080654,1.465519,0.793283
1.129065,1.461025,0.849755
1.165837,1.446825,0.916293
1.189361,1.426419,0.970145
1.212844,1.408771,1.020233
1.238493,1.401750,1.072573
1.259673,1.401920,1.117483
1.270985,1.404058,1.146041
1.272699,1.402043,1.156881
1.271303,1.389515,1.158537
1.270874,1.366832,1.164143
1.266523,1.332842,1.174624
1.274487,1.309176,1.203714
1.251627,1.255485,1.207656
1.221309,1.197287,1.204557
1.169537,1.119331,1.177953
1.109031,1.035108,1.140645
1.038162,0.947184,1.091877
0.969431,0.869651,1.042795
0.911879,0.809509,1.000013
0.866810,0.766106,0.963827
0.834505,0.740459,0.935734
0.788378,0.712046,0.886822
0.750795,0.703123,0.840849
0.759151,0.750147,0.836170
0.793175,0.833883,0.845490
0.858347,0.953773,0.872007
0.958794,1.101705,0.920800
1.094321,1.259120,0.997406
1.255635,1.396223,1.104557
1.419644,1.476304,1.237577
1.495932,1.415617,1.332409
1.530537,1.291282,1.434612
1.462202,1.085007,1.479502
1.336754,0.865995,1.489928
1.154386,0.651367,1.437915
0.950555,0.468211,1.335038
0.749701,0.324342,1.192483
0.569788,0.218464,1.026864
0.410747,0.141093,0.836024
0.290007,0.090307,0.662582
0.198654,0.056753,0.505286
0.137644,0.036499,0.386044
0.096639,0.024053,0.295818
0.069231,0.016352,0.228925
0.050859,0.011525,0.179856
0.038443,0.008453,0.144000
0.029959,0.006466,0.117756
0.024095,0.005162,0.098442
0.017120,0.003677,0.072006
0.012480,0.002708,0.053502
0.010768,0.002371,0.046597
0.009597,0.002146,0.041540
0.008812,0.001996,0.037871
0.008310,0.001896,0.035281
0.008018,0.001830,0.033560
0.007885,0.001787,0.032570
0.007875,0.001758,0.032212
0.006337,0.001385,0.025809
0.005334,0.001134,0.021764
0.005444,0.001120,0.022404
0.005584,0.001106,0.023325
0.005744,0.001091,0.024498
0.005916,0.001074,0.025892
0.006090,0.001053,0.027474
0.006257,0.001028,0.029211
0.006408,0.000996,0.031067
0.005095,0.000748,0.025729
0.004228,0.000585,0.022307
0.004259,0.000553,0.023539
0.004266,0.000519,0.024757
0.004247,0.000483,0.025946
0.004203,0.000446,0.027096
0.004137,0.000409,0.028203
